Latitude|Longitude|Temperature|Humidity|Pressure|Wind_Speed|Precipitation|Stability_Index|Front_Type|Time_of_Day|Season|Cloud_Cover|Solar_Radiation|Land_Use_Type|Elevation|Urban_Density|Soil_Type|Thunderstorm_Probability
38.5597|-115.1046|26.3|62.4|980.7|1.9|37.68|14.7|Warm Front|Afternoon|Winter|21.4|560.4|Urban|91.2|Low|Sandy|0.27
37.8407|-97.2496|20.6|87.4|1029.8|11.1|35.92|13.1|Warm Front|Morning|Spring|57.9|616.9|Rural|128.4|Low|Clay|0.48
39.1939|-93.4437|11.4|60.5|1022.6|1.4|3.4|27.2|Warm Front|Morning|Summer|57.9|415.9|Urban|154.8|High|Clay|0.52
39.3471|-109.787|27.9|44.3|999.8|13.4|15.0|16.3|Cold Front|Morning|Winter|62.1|625.2|Urban|68.3|Low|Clay|0.27
39.3326|-75.9568|32.0|52.2|987.9|16.7|35.18|22.2|No Front|Evening|Spring|66.8|621.8|Rural|75.9|Low|Sandy|0.12
31.0704|-92.3388|16.8|66.3|1015.9|4.1|31.71|15.3|Warm Front|Afternoon|Spring|9.2|569.4|Suburban|61.0|Medium|Loam|0.64
32.6196|-82.9385|23.8|55.7|980.5|1.5|44.16|28.1|No Front|Morning|Fall|58.3|459.2|Urban|60.5|Medium|Loam|0.9
32.1008|-107.5235|12.6|76.8|1024.2|8.1|31.03|13.1|Cold Front|Morning|Summer|88.1|409.9|Rural|281.1|Medium|Clay|0.86
38.1075|-106.6597|29.7|36.5|1023.6|17.2|11.12|26.3|Warm Front|Afternoon|Fall|82.1|748.5|Urban|55.9|Low|Sandy|0.33
38.6435|-71.6555|17.0|68.5|1000.0|19.6|26.81|28.8|Cold Front|Afternoon|Summer|58.1|793.4|Urban|77.1|Medium|Sandy|0.73
33.1368|-89.6896|22.8|53.1|1008.8|5.1|35.44|10.0|No Front|Evening|Summer|36.4|428.0|Rural|280.2|High|Sandy|0.66
31.2463|-74.9977|22.7|70.0|996.3|13.9|27.72|13.8|No Front|Afternoon|Summer|61.6|520.4|Rural|258.4|Medium|Sandy|0.21
37.8576|-89.6669|18.1|56.5|1013.8|10.2|39.69|29.2|No Front|Morning|Spring|28.4|665.5|Rural|133.8|Low|Clay|0.31
38.0656|-112.6323|11.2|89.0|1010.6|15.4|22.77|27.7|No Front|Morning|Winter|49.4|497.6|Rural|221.9|Low|Sandy|0.22
38.0411|-85.2044|21.6|63.4|1025.9|2.4|6.67|19.3|No Front|Evening|Fall|95.0|756.6|Rural|253.8|High|Sandy|0.83
35.4787|-75.1396|28.6|58.5|993.0|4.9|31.88|25.3|No Front|Afternoon|Summer|27.5|431.0|Suburban|108.6|Medium|Sandy|0.89
30.8058|-112.4585|19.6|39.2|990.7|8.3|16.54|19.3|Cold Front|Morning|Winter|38.9|707.9|Rural|54.9|High|Sandy|0.48
39.4274|-105.0694|19.7|83.5|1021.8|10.8|36.73|26.0|Cold Front|Afternoon|Summer|27.3|594.3|Suburban|134.0|High|Sandy|0.72
38.4051|-74.0229|34.5|62.0|1025.3|11.8|33.15|11.7|Warm Front|Morning|Winter|18.2|504.1|Suburban|102.9|Medium|Sandy|0.76
33.7913|-82.3995|30.8|45.1|984.1|0.4|26.97|30.0|Warm Front|Morning|Spring|78.1|660.7|Urban|287.4|Low|Loam|0.62
32.3854|-96.3219|12.9|86.9|1003.3|5.1|18.44|22.1|No Front|Evening|Spring|77.8|465.5|Suburban|77.0|Low|Sandy|0.58
39.0803|-101.2347|33.5|41.9|1009.6|16.6|12.14|23.9|Warm Front|Evening|Spring|79.6|626.4|Urban|136.8|Medium|Clay|0.37
35.0596|-102.9384|31.2|79.3|985.3|19.2|31.78|26.6|No Front|Morning|Winter|17.6|608.7|Rural|117.5|High|Sandy|0.46
38.2573|-90.3763|18.1|44.7|1026.7|5.6|22.54|25.0|No Front|Evening|Winter|33.6|597.7|Suburban|95.5|Low|Sandy|0.8
33.4034|-75.984|27.5|46.6|980.5|19.0|4.28|24.4|Warm Front|Evening|Summer|69.1|658.4|Suburban|162.0|Low|Loam|0.29
34.044|-107.8347|26.6|52.1|1007.7|6.9|49.83|21.0|Warm Front|Evening|Winter|27.1|500.6|Urban|230.3|Medium|Loam|0.74
39.5088|-85.4918|14.8|74.3|993.8|11.8|38.01|21.9|Cold Front|Morning|Fall|22.7|471.8|Urban|227.0|Low|Sandy|0.05
30.5453|-105.3932|33.6|68.3|1017.6|2.1|0.61|15.7|Warm Front|Afternoon|Fall|18.4|420.6|Suburban|78.5|Low|Sandy|0.49
35.7702|-85.6774|13.8|78.7|1027.5|1.7|12.41|21.2|Warm Front|Evening|Summer|77.6|552.2|Suburban|124.3|High|Sandy|0.31
36.2103|-89.5185|28.5|86.9|990.4|4.2|33.02|13.1|Cold Front|Evening|Spring|15.7|563.4|Rural|198.5|Medium|Loam|0.23
37.0696|-84.8506|21.4|71.2|1026.2|15.8|31.25|23.2|Cold Front|Afternoon|Spring|54.5|659.1|Suburban|256.7|Low|Loam|0.17
33.0761|-82.5521|24.2|47.3|986.2|13.8|34.99|28.9|No Front|Evening|Winter|43.8|639.2|Suburban|233.6|High|Sandy|0.03
32.2892|-86.2851|31.5|65.2|981.0|15.3|41.07|21.5|Cold Front|Afternoon|Winter|91.6|472.6|Rural|159.0|Medium|Loam|0.47
34.0835|-103.9471|12.6|39.6|1000.6|9.9|33.13|18.0|No Front|Morning|Winter|8.8|501.0|Urban|292.5|Medium|Clay|0.82
30.0115|-76.5316|21.5|33.3|1005.9|12.5|24.92|18.8|Cold Front|Morning|Fall|54.9|771.1|Suburban|270.2|Medium|Loam|0.03
36.3002|-80.0343|27.7|48.6|980.7|8.2|11.24|26.8|Cold Front|Afternoon|Spring|64.8|461.6|Rural|123.0|High|Sandy|0.42
34.825|-96.389|21.4|38.7|989.5|12.0|37.31|12.7|Cold Front|Afternoon|Winter|34.0|715.1|Suburban|255.1|Medium|Clay|0.3
35.8694|-70.0549|22.2|38.9|1006.9|6.9|27.6|20.9|Warm Front|Afternoon|Summer|98.1|495.5|Suburban|108.4|Medium|Loam|0.32
34.7298|-74.3285|19.5|89.3|1019.6|13.0|7.61|29.3|Cold Front|Evening|Fall|87.0|749.7|Suburban|74.9|Medium|Loam|0.72
34.0998|-87.2609|13.9|58.2|1028.5|6.8|34.64|23.0|Warm Front|Evening|Winter|95.4|650.7|Suburban|268.1|Low|Clay|0.07
36.3116|-73.9535|34.9|74.8|1001.7|2.0|31.69|27.5|Warm Front|Morning|Fall|90.3|418.4|Urban|123.3|Medium|Sandy|0.15
35.3117|-91.7036|29.8|40.2|983.9|17.4|30.99|14.8|No Front|Morning|Summer|46.1|501.6|Suburban|216.7|Medium|Sandy|0.68
31.5798|-97.9135|18.6|65.3|1011.9|8.5|12.5|26.9|Cold Front|Afternoon|Winter|10.7|552.5|Suburban|193.7|High|Sandy|0.02
38.3004|-100.2097|10.2|81.9|1018.9|19.5|45.53|24.9|Warm Front|Morning|Fall|21.9|476.1|Suburban|219.4|High|Clay|0.68
31.3678|-115.1418|25.7|32.4|1019.4|0.7|18.24|12.6|Warm Front|Afternoon|Winter|17.6|452.9|Rural|269.1|Medium|Clay|0.5
32.7253|-111.7728|32.9|86.7|1028.4|5.9|43.52|26.1|Warm Front|Morning|Summer|75.4|490.2|Rural|231.1|Medium|Clay|0.37
37.9068|-119.3041|23.4|57.3|1013.6|13.4|29.23|26.4|Warm Front|Morning|Summer|47.1|647.8|Rural|132.0|High|Loam|0.65
36.354|-96.7866|27.5|69.0|985.8|0.9|1.86|29.9|Cold Front|Morning|Summer|88.7|454.3|Suburban|142.8|High|Clay|0.95
34.1913|-82.8865|13.9|54.9|985.0|9.8|20.41|29.0|Cold Front|Evening|Fall|21.7|577.9|Urban|263.9|Low|Clay|0.37
39.017|-87.7587|11.5|46.6|1028.4|19.0|41.21|11.8|Cold Front|Evening|Spring|5.1|533.4|Urban|246.7|Low|Loam|0.83
35.5421|-90.6808|30.3|44.0|1018.7|15.8|29.8|15.5|Cold Front|Morning|Fall|79.9|444.0|Urban|83.0|Medium|Loam|0.59
30.1578|-106.7316|13.2|55.3|985.7|1.3|22.41|17.2|No Front|Morning|Winter|50.4|778.2|Urban|231.8|High|Clay|0.3
36.4334|-118.4425|35.0|80.8|1001.3|2.2|35.62|18.9|Cold Front|Afternoon|Summer|6.6|510.0|Rural|196.3|High|Sandy|0.38
35.9739|-105.2551|22.6|55.8|1019.7|2.3|32.74|27.6|No Front|Evening|Summer|43.0|755.2|Suburban|134.7|Medium|Sandy|0.42
30.9509|-98.6618|26.6|52.5|987.6|18.5|3.36|26.6|Cold Front|Afternoon|Spring|74.5|549.1|Urban|189.1|High|Clay|0.56
36.7001|-99.4596|31.8|86.5|1001.1|18.3|2.57|15.8|Warm Front|Afternoon|Spring|57.8|485.1|Rural|170.5|Low|Sandy|0.85
33.6756|-81.8697|24.4|78.4|1022.3|19.5|40.92|22.3|No Front|Evening|Spring|60.9|663.1|Rural|116.9|Low|Sandy|0.7
33.0898|-103.0088|10.2|82.2|1008.3|8.0|7.09|22.7|Cold Front|Morning|Summer|37.6|581.5|Urban|142.5|High|Sandy|0.78
35.6759|-115.7521|11.3|39.4|1010.9|13.5|13.61|23.2|Warm Front|Evening|Winter|41.4|486.2|Rural|78.5|Medium|Loam|0.28
36.7849|-95.6684|26.7|32.7|999.8|12.0|0.38|16.0|Cold Front|Morning|Fall|28.9|448.0|Suburban|236.8|Low|Loam|0.38
37.0367|-94.9869|30.8|78.4|983.6|17.2|2.12|10.4|Cold Front|Afternoon|Winter|57.3|683.8|Suburban|122.4|Medium|Loam|0.97
31.7187|-72.6193|21.5|71.4|998.1|8.7|5.29|18.7|Warm Front|Evening|Spring|39.6|524.1|Suburban|105.4|Low|Loam|0.51
31.1403|-94.5024|32.6|51.0|1016.4|16.4|40.75|14.7|Cold Front|Afternoon|Summer|17.3|461.1|Rural|68.8|High|Sandy|0.46
35.6374|-91.0266|27.0|82.9|1012.1|19.7|16.16|29.4|Warm Front|Morning|Winter|6.8|576.9|Suburban|249.1|High|Loam|0.35
30.7419|-96.9129|10.9|52.1|994.4|12.9|48.87|11.8|No Front|Evening|Winter|46.3|621.7|Rural|274.0|Medium|Clay|0.65
33.2153|-96.2185|13.8|33.7|985.2|18.0|17.17|24.3|No Front|Evening|Summer|3.9|683.0|Suburban|181.0|High|Loam|0.36
39.1794|-100.6292|29.4|70.7|982.6|12.6|16.73|16.6|No Front|Evening|Winter|28.4|689.5|Rural|291.1|High|Loam|0.33
35.8274|-112.9286|18.7|88.1|1014.9|7.8|29.75|28.8|Warm Front|Evening|Winter|64.3|531.4|Urban|217.5|High|Clay|0.91
30.9345|-86.4772|22.7|31.1|995.4|19.0|17.09|25.3|Cold Front|Morning|Summer|15.5|518.3|Urban|176.9|High|Clay|0.88
30.3775|-103.1618|29.2|37.9|998.8|3.2|41.57|25.4|Cold Front|Evening|Winter|4.4|545.7|Rural|109.4|Medium|Clay|0.28
37.4854|-97.5536|23.4|48.6|1020.4|9.4|41.76|17.4|No Front|Afternoon|Winter|76.9|711.2|Rural|181.9|Low|Loam|0.8
31.384|-107.4998|26.0|82.4|1007.7|2.1|42.29|27.0|Warm Front|Morning|Summer|27.3|762.1|Urban|257.8|Low|Loam|0.82
38.8463|-73.4764|20.4|53.8|998.7|7.7|4.08|14.5|Warm Front|Morning|Fall|79.1|455.0|Suburban|279.3|Medium|Clay|0.83
37.5884|-96.5445|25.4|84.4|981.0|4.3|7.48|28.8|No Front|Evening|Winter|11.1|515.2|Suburban|80.5|Low|Sandy|0.64
36.2281|-116.8596|30.9|60.0|1006.8|12.6|28.75|24.4|Warm Front|Afternoon|Spring|61.5|496.2|Suburban|96.8|High|Loam|0.52
33.606|-72.3298|23.6|77.2|1005.4|0.4|43.67|10.9|Warm Front|Afternoon|Fall|74.7|542.8|Urban|136.2|High|Clay|0.63
37.715|-83.2407|18.3|32.7|1007.3|16.3|8.75|25.6|Warm Front|Evening|Winter|63.2|724.6|Urban|229.0|Medium|Loam|0.29
30.4381|-110.0265|11.0|86.0|1005.8|19.8|27.15|15.1|No Front|Morning|Fall|35.7|712.3|Rural|133.0|Low|Sandy|0.44
34.0002|-98.0132|33.9|50.3|989.3|13.8|18.37|25.9|Warm Front|Morning|Winter|7.9|641.0|Urban|186.4|Medium|Loam|0.08
36.6092|-104.6752|25.1|55.6|1014.5|7.0|2.12|27.4|Warm Front|Evening|Winter|27.5|792.0|Urban|68.8|High|Sandy|0.36
38.011|-86.0295|33.8|38.6|1010.4|15.6|1.74|11.3|No Front|Afternoon|Fall|38.3|626.9|Rural|88.4|Medium|Sandy|0.37
37.6308|-91.3039|23.2|53.9|1012.5|5.0|5.67|24.7|Warm Front|Evening|Winter|91.4|447.1|Suburban|226.0|Low|Clay|0.29
39.1648|-95.44|13.1|81.2|1002.6|18.0|22.26|11.8|No Front|Afternoon|Fall|71.0|620.0|Suburban|272.8|Low|Clay|0.71
37.0022|-111.2954|19.0|43.5|1029.3|15.8|11.84|19.9|Warm Front|Evening|Fall|46.7|793.2|Urban|203.0|Low|Loam|0.31
39.996|-84.0565|23.1|76.1|1021.2|1.5|48.62|22.8|Warm Front|Afternoon|Fall|12.8|731.6|Rural|209.9|Low|Loam|0.43
39.1071|-117.2294|13.1|39.2|988.2|6.5|35.47|16.9|No Front|Afternoon|Spring|25.1|654.0|Rural|118.6|High|Sandy|0.61
30.9343|-87.9506|24.8|64.8|988.6|12.5|45.1|16.8|No Front|Morning|Spring|8.1|779.4|Rural|116.2|Low|Clay|0.42
36.3899|-95.0981|25.7|47.4|1027.8|9.7|40.23|23.7|Warm Front|Afternoon|Spring|68.9|463.2|Suburban|171.1|Low|Sandy|0.61
33.1258|-84.0819|28.4|81.6|1028.8|2.6|18.53|21.2|Warm Front|Morning|Winter|12.3|579.8|Urban|74.2|Medium|Sandy|0.86
34.1813|-71.8657|32.6|78.8|1026.7|14.4|9.49|13.2|No Front|Afternoon|Winter|87.9|598.9|Urban|286.3|High|Sandy|0.97
32.1514|-102.3552|11.3|59.7|1024.1|13.1|23.53|20.7|Cold Front|Afternoon|Summer|88.2|691.0|Suburban|141.5|Medium|Loam|0.57
31.9466|-92.3389|11.8|60.3|1018.2|5.6|49.45|23.6|Cold Front|Morning|Spring|39.4|718.0|Suburban|189.5|Medium|Loam|0.2
35.0912|-94.9961|11.1|38.2|996.7|9.5|22.85|22.1|No Front|Morning|Fall|93.1|527.4|Suburban|297.7|High|Sandy|0.59
35.0731|-94.5143|22.2|63.8|1003.7|0.3|16.56|12.2|Warm Front|Evening|Fall|79.7|690.1|Rural|207.3|High|Sandy|0.27
36.5559|-71.3972|24.5|43.7|982.6|9.6|26.21|24.4|Warm Front|Morning|Summer|3.2|779.3|Urban|97.7|Medium|Sandy|0.42
34.1296|-109.8054|22.5|66.7|1003.6|17.0|36.37|24.1|No Front|Morning|Fall|99.8|591.3|Suburban|128.4|Low|Sandy|0.91
33.4233|-102.2857|29.3|73.3|1012.2|13.9|30.5|13.8|Cold Front|Afternoon|Fall|22.5|789.2|Suburban|242.8|High|Loam|0.69
34.89|-96.0098|24.0|86.1|1016.1|5.8|28.67|20.9|Warm Front|Afternoon|Summer|29.0|515.1|Rural|69.8|Medium|Clay|0.26
34.7908|-109.8966|23.5|86.0|1014.8|2.7|30.78|21.7|Cold Front|Morning|Summer|63.8|421.0|Suburban|132.6|Medium|Loam|0.68
31.3747|-71.7741|34.4|39.5|1012.6|17.6|23.78|23.0|Warm Front|Afternoon|Fall|64.6|763.2|Urban|213.1|Low|Clay|0.74
38.5033|-118.1351|33.0|55.1|1021.9|18.7|1.82|26.7|Warm Front|Morning|Fall|87.7|403.7|Rural|200.7|Medium|Sandy|0.45
36.4131|-93.7841|32.2|38.1|1005.2|5.5|40.44|16.6|No Front|Afternoon|Fall|71.9|405.6|Suburban|247.7|High|Clay|0.76
31.7549|-77.1927|32.4|79.6|1005.8|1.7|33.46|13.7|Cold Front|Afternoon|Fall|93.6|402.7|Suburban|108.9|Medium|Sandy|0.3
37.2288|-119.4282|26.3|71.6|983.1|2.4|15.34|18.1|No Front|Evening|Fall|69.0|655.5|Suburban|141.9|Low|Loam|0.96
34.7818|-97.2511|34.7|52.4|1015.1|18.3|37.87|26.0|Cold Front|Morning|Spring|52.6|611.3|Suburban|69.5|High|Loam|0.06
35.4765|-94.7256|24.3|39.0|996.4|10.4|5.81|14.1|No Front|Afternoon|Spring|89.9|578.2|Urban|163.4|High|Sandy|0.46
30.5774|-96.8811|30.2|73.4|999.8|16.3|37.29|21.6|Cold Front|Afternoon|Fall|70.0|616.5|Urban|283.6|Low|Sandy|0.03
34.0887|-81.5514|29.1|88.7|1012.3|8.4|49.64|17.6|Warm Front|Afternoon|Spring|68.3|664.7|Rural|83.2|Medium|Loam|0.18
35.3726|-93.5579|28.2|43.4|980.2|0.5|14.92|23.5|No Front|Afternoon|Winter|82.3|499.0|Suburban|88.8|Low|Clay|0.77
30.3222|-86.9901|25.4|86.2|1024.5|4.8|3.36|21.9|Warm Front|Evening|Spring|24.5|417.7|Suburban|108.6|Low|Loam|0.14
39.9348|-108.2919|32.9|64.6|1008.9|15.5|40.92|14.7|Cold Front|Evening|Summer|41.4|510.1|Rural|287.1|High|Loam|0.63
34.272|-95.219|34.3|86.5|1013.6|15.7|15.94|18.3|Cold Front|Afternoon|Winter|18.4|615.2|Urban|262.3|Medium|Clay|0.14
34.6303|-117.1188|20.3|55.0|1006.5|7.8|12.75|16.6|Cold Front|Afternoon|Fall|9.2|689.8|Urban|62.9|Medium|Clay|0.6
30.3955|-116.3608|30.1|65.3|1013.6|4.3|10.44|28.1|Warm Front|Morning|Summer|93.7|784.8|Urban|236.7|Medium|Loam|0.7
37.0377|-100.1684|16.0|49.3|994.2|9.3|32.44|16.2|Warm Front|Evening|Winter|46.6|721.1|Rural|167.4|Medium|Loam|0.37
34.1393|-91.8738|15.5|38.8|993.0|18.7|28.96|18.4|Cold Front|Morning|Fall|23.0|627.9|Urban|174.8|High|Clay|0.34
37.6336|-95.5689|28.1|74.4|1003.0|14.7|17.61|12.8|No Front|Afternoon|Summer|91.7|616.9|Rural|289.3|High|Loam|0.84
30.7433|-79.1002|11.2|30.4|986.9|12.6|3.4|13.0|Cold Front|Evening|Winter|37.3|647.1|Rural|283.5|Medium|Clay|0.49
30.0661|-92.4178|10.3|61.8|993.7|19.5|0.86|26.3|No Front|Afternoon|Summer|10.7|438.5|Urban|110.2|High|Clay|0.25
33.5444|-80.2532|12.0|87.6|1002.9|4.9|34.86|16.0|Cold Front|Evening|Spring|9.4|551.7|Rural|169.0|High|Loam|0.7
30.8269|-77.7335|26.1|49.9|1028.9|19.5|44.74|28.4|Cold Front|Morning|Winter|27.1|769.7|Rural|281.4|High|Clay|0.66
31.7935|-77.4786|10.4|42.4|987.2|16.4|41.05|28.6|Warm Front|Morning|Summer|56.7|739.8|Rural|274.1|Medium|Sandy|0.76
31.3995|-70.5761|28.1|60.0|1028.7|1.1|21.85|26.8|Warm Front|Evening|Winter|96.9|530.6|Rural|118.3|Medium|Sandy|0.23
35.5304|-101.2287|14.6|65.2|999.0|15.4|14.77|14.9|Cold Front|Morning|Fall|15.4|684.7|Rural|88.6|Medium|Sandy|0.36
30.9152|-72.852|21.1|75.7|985.1|1.7|21.55|21.1|No Front|Afternoon|Spring|2.6|541.6|Urban|199.2|Medium|Sandy|0.01
34.1381|-81.0415|28.1|63.6|1029.6|4.9|26.06|23.7|Cold Front|Morning|Fall|30.1|597.2|Urban|91.8|Medium|Sandy|0.3
37.8267|-101.9438|33.6|73.3|1004.8|12.3|22.89|12.7|Cold Front|Afternoon|Fall|84.2|552.0|Suburban|160.1|Medium|Clay|0.97
31.3612|-103.9667|33.7|42.1|995.7|19.3|48.44|15.8|No Front|Evening|Winter|96.8|712.8|Suburban|144.0|Medium|Sandy|0.11
35.6385|-90.3886|23.6|70.9|1007.5|19.1|23.08|24.2|Warm Front|Afternoon|Spring|81.9|718.3|Suburban|218.2|Low|Clay|0.3
32.5268|-112.2928|20.6|52.6|1002.5|12.0|29.11|20.7|No Front|Afternoon|Spring|79.1|543.8|Rural|198.5|Low|Loam|0.77
36.576|-102.2496|26.2|32.7|1029.2|13.5|19.98|25.1|Warm Front|Morning|Spring|9.9|488.8|Rural|179.7|High|Clay|0.58
34.4578|-100.4433|29.3|65.3|1005.0|6.9|1.23|12.1|Warm Front|Morning|Spring|83.1|692.1|Suburban|128.0|Medium|Loam|0.52
33.483|-115.1188|28.0|57.1|983.4|0.9|35.54|10.5|Warm Front|Evening|Spring|67.7|465.7|Rural|111.0|Low|Clay|0.16
35.5985|-72.0769|15.8|54.3|989.2|12.8|21.61|10.6|No Front|Morning|Winter|59.2|555.5|Rural|103.7|Medium|Clay|0.81
30.6256|-114.9124|31.8|41.2|996.3|9.2|13.12|27.3|No Front|Evening|Fall|59.7|644.5|Rural|78.6|Medium|Sandy|0.62
38.1374|-84.7006|17.4|66.9|984.2|2.7|5.89|16.1|Cold Front|Afternoon|Summer|51.1|567.3|Urban|193.7|Medium|Loam|0.49
35.3738|-74.042|33.3|40.4|988.3|5.8|9.35|26.8|No Front|Morning|Fall|95.2|593.8|Urban|253.8|High|Clay|0.65
34.0913|-95.4137|27.8|56.6|988.4|11.3|39.79|14.4|Cold Front|Afternoon|Summer|53.8|467.3|Suburban|191.4|Medium|Clay|0.51
35.7271|-106.6056|23.6|89.5|1007.1|15.1|38.0|18.8|Cold Front|Afternoon|Spring|73.6|661.5|Urban|124.4|Low|Sandy|0.26
38.622|-115.6508|31.6|37.0|1020.6|4.2|36.88|23.8|No Front|Evening|Winter|16.6|455.7|Urban|253.4|Low|Clay|0.35
32.8109|-93.0616|18.1|72.2|994.5|5.3|42.9|29.7|No Front|Morning|Summer|96.3|714.3|Urban|298.1|High|Loam|0.7
31.3269|-112.6878|18.1|44.9|1022.2|7.9|7.11|22.6|No Front|Afternoon|Winter|45.2|653.5|Urban|150.7|High|Sandy|0.69
38.7732|-97.2652|22.2|64.9|1023.4|16.9|4.66|29.4|No Front|Evening|Fall|85.0|718.3|Suburban|104.5|Medium|Loam|0.49
33.2287|-105.8203|23.7|37.8|1022.6|15.8|44.71|25.2|Cold Front|Morning|Winter|1.6|771.8|Urban|160.3|Low|Sandy|0.2
36.8859|-113.4043|26.2|39.5|1026.6|5.5|32.73|15.0|Warm Front|Evening|Summer|5.2|650.2|Rural|224.9|Low|Sandy|0.66
37.037|-119.9457|21.9|38.0|991.3|13.6|0.46|23.9|Cold Front|Afternoon|Summer|47.8|491.6|Urban|232.7|Low|Loam|0.31
38.8099|-113.1435|29.3|75.2|986.7|19.9|7.14|20.6|Cold Front|Evening|Summer|44.0|689.0|Rural|237.1|Medium|Clay|0.69
38.5996|-115.6656|12.5|75.1|1009.5|7.7|48.16|16.3|Cold Front|Morning|Fall|64.5|499.3|Rural|200.0|High|Sandy|0.78
36.9048|-77.6054|26.5|48.1|1005.9|10.2|37.39|15.9|Cold Front|Morning|Winter|38.6|496.4|Rural|198.5|High|Loam|0.99
39.3392|-113.4009|31.5|64.1|998.3|13.7|38.14|29.1|Cold Front|Morning|Spring|1.4|486.3|Urban|287.2|Medium|Clay|0.29
37.1263|-81.6445|20.6|54.1|1012.0|10.8|7.63|11.7|Cold Front|Evening|Summer|97.4|462.2|Suburban|147.7|High|Clay|0.68
30.6612|-85.0662|28.2|80.8|982.9|1.7|21.72|19.1|No Front|Morning|Fall|66.6|663.2|Urban|79.9|High|Loam|0.7
31.6383|-72.3492|23.1|77.0|1016.0|3.3|6.35|25.6|Warm Front|Evening|Spring|77.1|411.7|Suburban|118.0|Low|Sandy|0.71
35.7665|-116.1465|21.4|51.6|1005.0|11.3|18.38|15.1|Cold Front|Evening|Spring|22.8|603.5|Urban|264.7|Low|Loam|0.05
33.6398|-73.9887|14.5|87.6|981.8|16.1|35.7|23.1|Cold Front|Afternoon|Summer|41.6|688.1|Suburban|256.5|High|Sandy|0.12
36.7333|-117.3664|15.6|60.9|982.3|8.0|43.85|27.3|Warm Front|Afternoon|Spring|55.3|403.2|Urban|122.9|Medium|Clay|0.62
34.6393|-90.4155|22.3|76.4|989.8|18.0|38.02|14.9|Cold Front|Afternoon|Spring|23.3|538.6|Rural|269.3|Medium|Loam|0.76
33.7627|-83.0959|17.7|42.3|1029.2|8.4|48.06|29.5|Cold Front|Evening|Fall|9.3|768.5|Rural|153.3|Medium|Sandy|0.97
30.849|-115.2211|13.3|79.2|983.7|11.4|21.75|29.3|Cold Front|Afternoon|Fall|85.1|770.4|Suburban|225.2|High|Sandy|0.32
32.7196|-116.2656|15.1|76.8|1009.2|3.1|8.22|19.3|Warm Front|Morning|Fall|96.5|483.1|Suburban|165.8|Low|Loam|0.16
36.8605|-78.6807|27.4|32.4|1021.8|6.6|4.56|15.0|Warm Front|Afternoon|Spring|67.7|504.1|Urban|57.8|Medium|Sandy|0.56
35.5012|-115.2637|12.5|77.6|986.1|1.2|39.05|14.4|Cold Front|Afternoon|Fall|68.6|775.0|Urban|195.6|Medium|Loam|0.02
30.6447|-74.8752|21.1|37.7|1025.3|16.6|16.58|10.9|Warm Front|Morning|Summer|92.4|573.3|Rural|148.7|Low|Sandy|0.68
31.7281|-109.2642|14.7|46.8|1024.2|0.7|30.96|14.9|Warm Front|Afternoon|Winter|88.3|591.6|Urban|119.9|Low|Sandy|0.2
38.8465|-93.7093|25.8|78.1|1019.7|19.8|39.1|17.2|No Front|Afternoon|Fall|91.3|601.0|Suburban|117.6|Low|Sandy|0.6
